questions,answers
good let s go now,all right
all right,can you do push ups
really i think that is impossible,you mean push ups
you mean push ups,yeah
can you study with the radio on,no i listen to background music
no i listen to background music,what is the difference
what is the difference,the radio has too many comerials
do not worry he is an acrobat,i see
i see,hey john nice skates are they new
oh yeah which team,the rockets
all right see you later,hey lydia what are you reading
frank s getting married do you believe this,is he really
is he really,yes he is he loves the girl very much
yes he is he loves the girl very much,who is he marring
who is he marring,a girl he met on holiday in spain i think
a girl he met on holiday in spain i think,have they set a date for the wedding
have they set a date for the wedding,not yet
what kind of house is it,it s a wonderful spanish style
it s a wonderful spanish style,oh i love the roof tiles on spanish style houses
right congratulations,thank you
thank you,hi becky what is up
certainly,anyone home jen
anyone home jen,i am in the kitchen let yourself in
i am in the kitchen let yourself in,wow you are really working up a storm
wow you are really working up a storm,i know i have even worked up a sweat
i know i have even worked up a sweat,you look like a cooking show host only messier
you look like a cooking show host only messier,you look so tan and healthy
you look so tan and healthy,thanks i just got back from summer camp
thanks i just got back from summer camp,how was it
like what,i went sailing fishing and horseback riding
i went sailing fishing and horseback riding,i m so jealous
i m sorry i didn t know that,that s all right thank you all the same
that s all right thank you all the same,ah ah ah
jog,then you are to walk to work
then you are to walk to work,walk
walk,thirty minutes in gym at lunch time
thirty minutes in gym at lunch time,oh no
oh no,use the stairs never the elevator
use the stairs never the elevator,oh dear
dance class i do not know how,you will
you will,oh
oh,hi bill i saw your grandma yesterday
hi bill i saw your grandma yesterday,oh where was that
she will be next month,that is truly amazing
that is truly amazing,i would like to register for a class today
i would like to register for a class today,no problem what class would you like to take
there are two classes that are still open,which days are these classes on
what about the other class,the other class is on monday and wednesday from am
the other class is on monday and wednesday from am,are you sure there are no more open classes
are you sure there are no more open classes,i am positive
i am positive,sign me up for monday and wednesday
sign me up for monday and wednesday,okay i will sign you up
okay i will sign you up,dad why are you taping the windows
dad why are you taping the windows,honey a typhoon is coming
jenny come and help we need to prepare more food,ok dad i am coming
ok dad i am coming,hi my name is lean and i am from russia
to me english is a difficult language,a second language is always difficult
no wonder you say english is a crazy language,can i help you
yeah cal ripen just hit a home run,what s the score
so baltimore is winning,right
yeah there isn t a bad seat in the place,the fans are great here too not like in philadelphia
how do you like the pizza here,perfect it really hits the spot
perfect it really hits the spot,do you have a light
do you have a light,sorry i do not smoke
sorry i do not smoke,i was scared stiff of giving my first performance
i was scared stiff of giving my first performance,were you your performance was excellent
were you your performance was excellent,thank you for your kindly words
sure which button do i press to shoot,this one
this one,do i have to focus it
all right say cheese,every country should face the history
i believe such things won t be realized just daydreaming,do you like traveling kathy
or getting stuck in traffic jams when you re driving,exactly
it s amazing,do you want black or white coffee
do you want black or white coffee,white please
i do not like folk music very much,what kind of music do you like
what kind of music do you like,i like classical music do you
i like classical music do you,not very much classical music sends me to sleep
not very much classical music sends me to sleep,i do not believe you
i do not believe you,it s true
it s true,you are funny
you are funny,so are you how about another coffee
so are you how about another coffee,what do you like to do in your spare time
what do you like to do in your spare time,i like playing chess
i like playing chess,do you have any hobbies besides playing chess
do you have any hobbies besides playing chess,i am afraid not
oh yes i like playing basketball,can you tell me why you like it
can you tell me why you like it,because i like the feeling of cooperating with others
because i like the feeling of cooperating with others,where is john i can not find him anywhere
where is john i can not find him anywhere,have not you heard that he is in prison
have not you heard that he is in prison,what beg your pardon
what beg your pardon,john is in prison now he was copped outstealing
john is in prison now he was copped outstealing,i just can not believe my ears
i just can not believe my ears,can i help you
thank you for you help,hey ted what are you up to this friday
hey ted what are you up to this friday,well i have the day off from work
well i have the day off from work,that s great do you have any plans
can i stop by,sure any time
sure any time,you honestly believe the world s improving every year
i don t think you re right there,i believe industry is making us wealthier
i believe industry is making us wealthier,i don t believe that
i don t believe that,and in my opinion medicine is making us healthier
that s your opinion not mine,what do you plan to do for your birthday
what do you plan to do for your birthday,i want to have a picnic with my friends mum
ok mum i will invite my friends home,how may i help you
how may i help you,i would like to return this book
i would like to return this book,is that all you need
is that all you need,i also want to check out this video
i also want to check out this video,is that all you would like to check out
is that all you would like to check out,that s all i need
that s all i need,do you have your library card
do you have your library card,here it is
here it is,make sure to take proper care of this video
make sure to take proper care of this video,that won t be a problem
that won t be a problem,if you damage the video you will be fined
if you damage the video you will be fined,i won t damage it
i won t damage it,what is the matter with you then you look miserable
what is the matter with you then you look miserable,it s us
it s us,what do you mean by us
what do you mean by us,well you always say you are busy
well you always say you are busy,that is right
you mean i am groaned a few words,totally not perhaps it s about our marriage
great idea peter i could use the drink,how about the new bar across road
how about the new bar across road,sounds good the food there is fantastic too
sounds good the food there is fantastic too,i agree i had lunch there last week
i agree i had lunch there last week,excellent that sounds like a plan
excellent that sounds like a plan,could you tell me the right time please
you have to go and fix it,yes i will
yes i will,does your family have a record of your ancestors
how about tomorrow afternoon,sure where shall i meet you
sure where shall i meet you,at the gate of the park
at the gate of the park,great i look forward to meeting you
great i look forward to meeting you,see you then
see you then,see you
could you move smoothly,yes my face even ached in the icy wind
yes my face even ached in the icy wind,what happened afterwards
poor girl,you look pale recently
take good care of yourself,thank you i will
thank you i will,hey maggy did you hear about david
hey maggy did you hear about david,about david no i didn t hear anything
about david no i didn t hear anything,you know about david and his new boss
you know about david and his new boss,sorry i don t quite follow you
sorry i don t quite follow you,well i heard david has been fired
well i heard david has been fired,oh that is a shame he is really hard working
oh that is a shame he is really hard working,how do you usually get to school
sounds good let s go,what is wrong with him
study study study i want to learn a lot,you are going to take courses
you are going to take courses,yes i am going to take some university courses there
yes i am going to take some university courses there,sounds hard
sounds hard,yes but i think it s probably for the best
yes but i think it s probably for the best,won t you get lonely
